srcYear,srcMonth,srcStateName,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,YearCode,Year,TotalPopulationMaleRural,MonthCode,TotalPopulationFemale,TotalPopulationFemaleUrban,Month,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
2017,Aug - 2017,Andhra Pradesh,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,2017,"Calendar Year (Jan - Dec), 2017",17538248,201708,24746590,7318145,"August, 2017",17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Bihar,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,2017,"Calendar Year (Jan - Dec), 2017",48073850,201708,49821295,5553709,"August, 2017",44267586,18913565,2050625,16862940,232472,9.066576e+06,9299048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Chhattisgarh,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,2017,"Calendar Year (Jan - Dec), 2017",9797426,201708,12712303,2901768,"August, 2017",9810535,5650724,1285156,4365568,324772,9.342504e+06,9667276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Dadra & Nagar Haveli,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,343709,160595,183114,193760,95455,2017,"Calendar Year (Jan - Dec), 2017",98305,201708,149949,65140,"August, 2017",84809,76458,40364,36094,4570,44311.95,48881.94921875,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Goa,India,30,GOA,1458545,906814,551731,739140,463704,2017,"Calendar Year (Jan - Dec), 2017",275436,201708,719405,443110,"August, 2017",276295,343611,215403,128208,77854,292350.06,370204.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Gujarat,India,24,GUJARAT,60443083,25748474,34694609,31492973,13693814,2017,"Calendar Year (Jan - Dec), 2017",17799159,201708,28950110,12054660,"August, 2017",16895450,12249135,5475577,6773558,733163,1.4957394e+07,15690557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Haryana,India,6,HARYANA,25351462,8842103,16509359,13494734,4720728,2017,"Calendar Year (Jan - Dec), 2017",8774006,201708,11856728,4121375,"August, 2017",7735353,4857524,1813768,3043756,197608,4.195635e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Himachal Pradesh,India,2,HIMACHAL PRADESH,6864602,688552,6176050,3481873,371528,2017,"Calendar Year (Jan - Dec), 2017",3110345,201708,3382729,317024,"August, 2017",3065705,1483280,170770,1312510,27130,4.550697e+06,4577827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Jharkhand,India,20,JHARKHAND,32988134,7933061,25055073,16930315,4153829,2017,"Calendar Year (Jan - Dec), 2017",12776486,201708,16057819,3779232,"August, 2017",12278587,6254781,1525412,4729369,225145.15000000005,7.4609565e+06,7686101.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Karnataka,India,29,KARNATAKA,61095297,23625962,37469335,30966657,12037303,2017,"Calendar Year (Jan - Dec), 2017",18929354,201708,30128640,11588659,"August, 2017",18539981,13357027,5410370,7946657,599199.34,1.8541768e+07,19140967.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Odisha,India,21,ODISHA,41980846,7010284,34970562,21215646,3629443,2017,"Calendar Year (Jan - Dec), 2017",17586203,201708,20765200,3380841,"August, 2017",17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Sikkim,India,11,SIKKIM,610577,153578,456999,323070,80273,2017,"Calendar Year (Jan - Dec), 2017",242797,201708,287507,73305,"August, 2017",214202,129006,35718,93288,3824.1,649873.1,653697.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Aug - 2017,Telangana,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,2017,"Calendar Year (Jan - Dec), 2017",10704993,201708,17392041,6702025,"August, 2017",10690016,8303612,3134583,5169029,373524,1.0014736e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Dec - 2017,Andaman & Nicobar Islands,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,2017,"Calendar Year (Jan - Dec), 2017",126287,201712,177710,66904,"December, 2017",110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Dec - 2017,Andhra Pradesh,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,2017,"Calendar Year (Jan - Dec), 2017",17538248,201712,24746590,7318145,"December, 2017",17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Dec - 2017,Bihar,India,10,BIHAR,104099452,11758016,92341436,54278157,6204307,2017,"Calendar Year (Jan - Dec), 2017",48073850,201712,49821295,5553709,"December, 2017",44267586,18913565,2050625,16862940,232472,9.066576e+06,9299048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,Dec - 2017,Chhattisgarh,India,22,CHHATTISGARH,25545198,5937237,19607961,12832895,3035469,2017,"Calendar Year (Jan - Dec), 2017",9797426,201712,12712303,2901768,"December, 2017",9810535,5650724,1285156,4365568,324772,9.342504e+06,9667276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
