srcYear,srcMonth,srcStateName,Ration cards,Transactions through portability-Inter District under Antyodaya Anna Yojana,Transactions through portability-Inter District under Priority Household,Transactions through portability-Intra District under Antyodaya Anna Yojana,Transactions through portability-Intra District under Priority Household,Quantity distributed through portability Inter Distric under Antyodaya Anna Yojana,Quantity distributed through portability Inter District under Priority Household,Quantity distributed through portability Intra District under Antyodaya Anna Yojana,Quantity distributed through portability Intra District under Priority Household,YearCode,Year,MonthCode,Month
2018,Apr - 2018,Sikkim,94863,0,0,0,0,0,0,0,0,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2017,Dec - 2017,Jharkhand,5637091,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Karnataka,11541829,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2019,Apr - 2019,Bihar,24639,0,0,639,2413,0,0,22.28,72.87,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
2019,Jul - 2019,Punjab,3555040,4,108,884,29514,0.84,13.2,182.51,3462.8,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019"
2017,Dec - 2017,Madhya Pradesh,11407162,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Maharashtra,14593852,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Odisha,8629658,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Punjab,99007,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Rajasthan,9874178,18896,2030,5090926,274978,222.82,35.42,57827.4,4796.5,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Telangana,5022172,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Tamil Nadu,9514303,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Uttar Pradesh,33432426,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2022,Jul - 2022,Meghalaya,421525,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
2017,Dec - 2017,Dadra & Nagar Haveli,33272,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Daman & Diu,24224,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Goa,139184,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Gujarat,7203808,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Haryana,2962828,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Himachal Pradesh,8514,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Dec - 2017,Jammu And Kashmir,37018,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
2017,Nov - 2017,Jammu And Kashmir,37018,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Andaman & Nicobar Islands,8877,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Andhra Pradesh,9620690,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Bihar,24491,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Chhattisgarh,5312750,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Dadra & Nagar Haveli,33031,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Daman & Diu,24162,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Delhi,1944884,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Goa,139042,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Gujarat,7194140,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Haryana,2964186,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Jharkhand,5636080,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Karnataka,11293767,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Madhya Pradesh,11400807,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Maharashtra,14593852,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Odisha,8629658,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
2017,Nov - 2017,Punjab,99007,0,0,0,0,0,0,0,0,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
