Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","September, 2022",16765,7,55,66,546,0.25,0.88,2.31,9.4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","September, 2022",8923935,9246,111199,159329,1452895,3037.43,11523.29,2781.91,12605.76
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","September, 2022",180490,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022","September, 2022",5794113,17,138,5435,40204,0.6,2.56,189.79,826.15
India,Bihar,"Calendar Year (Jan - Dec), 2022","September, 2022",18514778,5667,42805,182479,1288410,195.81,1055.7,6349.19,30763.43
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","September, 2022",5224909,4335,36937,26132,193938,151.49,707.9,759.81,3066.51
India,Goa,"Calendar Year (Jan - Dec), 2022","September, 2022",143075,0,32,18,480,0,0.51,0.63,9.34
India,Gujarat,"Calendar Year (Jan - Dec), 2022","September, 2022",7468707,1332,11871,3178,37762,41.11,249.64,129.33,1007.79
India,Haryana,"Calendar Year (Jan - Dec), 2022","September, 2022",2788227,2461,14635,32029,363636,85.56,314.37,1115.93,8287.19
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022","September, 2022",751535,0,0,0,0,0.03,0.12,0,0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","September, 2022",1645600,222,2683,2171,20293,7.14,49.28,75.66,387.87
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","September, 2022",6006602,75,1411,1880,50549,2.78,26.05,64,956.56
India,Karnataka,"Calendar Year (Jan - Dec), 2022","September, 2022",10212685,2857,108746,19799,710318,0.62,10.26,6.1,90.03
India,Kerala,"Calendar Year (Jan - Dec), 2022","September, 2022",4102513,6024,29398,69585,422752,176.35,413.39,2148.29,6940.46
India,Ladakh,"Calendar Year (Jan - Dec), 2022","September, 2022",28972,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","September, 2022",11968554,8767,65705,47795,484858,272.41,1240.59,1623.02,10145.47
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","September, 2022",15491463,5966,57507,23595,468044,203.72,1233.78,809.93,10167.73
India,Manipur,"Calendar Year (Jan - Dec), 2022","September, 2022",568769,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","September, 2022",421531,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022","September, 2022",167425,12,43,21,143,0.42,0.87,0.74,2.89
India,Nagaland,"Calendar Year (Jan - Dec), 2022","September, 2022",304365,0,1,108,861,0,0.03,3.78,17.31
India,Odisha,"Calendar Year (Jan - Dec), 2022","September, 2022",9199295,0,0,0,0,0,0,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","September, 2022",10334590,3525,47779,67456,1390163,122.8,1003.9,2352.45,28738.26
India,Sikkim,"Calendar Year (Jan - Dec), 2022","September, 2022",95542,0,2,40,172,0,0.05,1.38,3.54
